company,type,sequence,start,end
Roche,454,Roche_454,2007,2013
Illumina,GAIIx,Illumina_GAIIx,2007,2024
Illumina,HiSeq,Illumina_HiSeq,2010,2023
Ion Torrent,IonPGM,IonTorrent_IonPGM,2010,2024
Illumina,MiSeq,Illumina_MiSeq,2011,2024
PacBio,RSII,PacBio_RSII,2013,2021
Illumina,NextSeq,Illumina_NextSeq,2014,2024
ONT,MinION,ONT_MinION,2015,2024
BGI,BGISEQ500,BGI_BGISEQ500,2015,2024
BGI,BGISEQ50,BGI_BGISEQ50,2016,2024
Illumina,iSeq100,Illumina_iSeq100,2018,2024
BGI,MGISEQ2000,BGI_MGISEQ2000,2018,2024
Illumina,NovaSeq,Illumina_NovaSeq,2017,2024